ObjectNumber,Title
36-20/2,The Little Tragedy
45-41,Figure
46-10,Gaberndorf II
46-69,Guitar Player
47-111,Still Life with Oleander and Fruit
50-59,Duo
51-60,Rose Tower
53-71,Deauville Racetrack
53-85,Large Vase with Female Nudes
54-86,Baccarat
54-87,The Record Player
54-88,Portrait of the Poet Ghuttmann
54-89,Pyramids at Gizeh
54-90,Masks
56-119,Let's Phosphoresce by Intellection II
56-120,Women at Sunrise
66-59,Portrait of Maurice Utrillo
71-22,Coffee Grinder and Glass
F58-68,At the Risk of the Sun
F62-46 ,Street in Sannois
F62-9,Rose with Gray
F63-14,Seen and Heard
F65-18,Frenzy (Der Berserker)
F70-12,Bather
F71-15,"The Virtue Wagon (to the memory of October 5, 1922)"
F73-53,Marcel Duchamp Cast Alive
F77-24,Statue on Triangular Base
F81-12,Homage to the Square: Red Brass
F99-33/3,Portrait of Nancy Cunard (also called Sophisticated Young Lady)
F99-33/4,Untitled
LOAN 29.2012,Bust of a Faun 
34-134,Reclining Woman
